filename,width,height,class,xmin,ymin,xmax,ymax
EX200_1557292037749-EX200.jpg,107,23,E,13,3,29,22
EX200_1557292037749-EX200.jpg,107,23,X,28,2,44,22
EX200_1557292037749-EX200.jpg,107,23,2,54,1,70,21
EX200_1557292037749-EX200.jpg,107,23,0,69,2,84,21
EX200_1557292037749-EX200.jpg,107,23,0,83,1,98,20
EX200_1557827917333-EX200.jpg,81,18,E,9,2,21,17
EX200_1557827917333-EX200.jpg,81,18,X,21,1,33,17
EX200_1557827917333-EX200.jpg,81,18,2,40,1,52,16
EX200_1557827917333-EX200.jpg,81,18,0,51,1,62,16
EX200_1557827917333-EX200.jpg,81,18,0,62,1,73,16
EX373-1563008494141.jpg,105,29,E,12,2,28,22
EX373-1563008494141.jpg,105,29,X,26,3,42,24
EX373-1563008494141.jpg,105,29,3,51,5,66,24
EX373-1563008494141.jpg,105,29,7,66,5,80,25
EX373-1563008494141.jpg,105,29,3,79,7,94,26
EX50_1555069823993-EX50.jpg,102,30,E,1,6,19,29
EX50_1555069823993-EX50.jpg,102,30,X,17,3,34,27
EX50_1555069823993-EX50.jpg,102,30,5,54,3,70,25
EX50_1555069823993-EX50.jpg,102,30,0,69,2,84,25
EX885-1563013999150.jpg,94,24,E,11,2,25,19
EX885-1563013999150.jpg,94,24,X,24,2,37,21
EX885-1563013999150.jpg,94,24,8,45,3,59,21
EX885-1563013999150.jpg,94,24,8,58,4,71,22
EX885-1563013999150.jpg,94,24,5,70,4,85,22
EX919_1558263049039-EX919.jpg,128,38,E,17,9,36,34
EX919_1558263049039-EX919.jpg,128,38,X,34,8,53,33
EX919_1558263049039-EX919.jpg,128,38,9,62,7,80,31
EX919_1558263049039-EX919.jpg,128,38,1,79,5,94,29
EX919_1558263049039-EX919.jpg,128,38,9,95,4,111,28
EX942-1563012087097.jpg,101,26,E,11,3,27,22
EX942-1563012087097.jpg,101,26,X,25,2,40,23
EX942-1563012087097.jpg,101,26,9,48,4,63,23
EX942-1563012087097.jpg,101,26,4,62,4,76,24
EX942-1563012087097.jpg,101,26,2,76,5,91,25
EX944_1556754557941-EX944.jpg,125,37,E,17,11,33,33
EX944_1556754557941-EX944.jpg,125,37,X,35,10,51,32
EX944_1556754557941-EX944.jpg,125,37,9,61,7,78,29
EX944_1556754557941-EX944.jpg,125,37,4,78,5,94,26
EX944_1556754557941-EX944.jpg,125,37,4,94,4,109,25
G010602_EX200.jpg,234,55,E,25,6,58,47
G010602_EX200.jpg,234,55,X,57,6,91,48
G010602_EX200.jpg,234,55,2,111,5,146,46
G010602_EX200.jpg,234,55,0,145,4,176,46
G010602_EX200.jpg,234,55,0,175,4,208,47
G010602_EX39.jpg,230,80,E,25,18,69,77
G010602_EX39.jpg,230,80,X,67,15,108,76
G010602_EX39.jpg,230,80,3,150,9,188,68
G010602_EX39.jpg,230,80,9,187,6,225,64
G010602_EX50.jpg,230,56,E,23,11,56,55
G010602_EX50.jpg,230,56,X,56,9,87,54
G010602_EX50.jpg,230,56,5,131,6,163,50
G010602_EX50.jpg,230,56,0,163,5,195,48
G010602_MP5639.jpg,201,54,M,7,2,33,39
G010602_MP5639.jpg,201,54,P,34,2,60,39
G010602_MP5639.jpg,201,54,5,76,5,102,43
G010602_MP5639.jpg,201,54,6,103,8,128,44
G010602_MP5639.jpg,201,54,3,146,10,174,47
G010602_MP5639.jpg,201,54,9,172,11,201,49
G010602_MP6047.jpg,164,91,M,46,5,79,45
G010602_MP6047.jpg,164,91,P,78,4,111,46
G010602_MP6047.jpg,164,91,6,10,43,43,86
G010602_MP6047.jpg,164,91,0,41,44,73,83
G010602_MP6047.jpg,164,91,4,90,38,120,79
G010602_MP6047.jpg,164,91,7,117,36,151,79
G010602_MT2988.jpg,108,41,M,5,3,22,28
G010602_MT2988.jpg,108,41,T,22,5,37,29
G010602_MT2988.jpg,108,41,2,38,8,55,32
G010602_MT2988.jpg,108,41,9,54,9,69,34
G010602_MT2988.jpg,108,41,8,74,12,89,36
G010602_MT2988.jpg,108,41,8,89,14,104,38
G010602_MT6504.jpg,137,83,M,38,5,69,41
G010602_MT6504.jpg,137,83,T,66,4,93,41
G010602_MT6504.jpg,137,83,6,8,43,35,80
G010602_MT6504.jpg,137,83,5,35,42,62,80
G010602_MT6504.jpg,137,83,0,78,42,105,79
G010602_MT6504.jpg,137,83,4,103,40,132,79
G010602_MW4925.jpg,365,82,M,8,6,56,68
G010602_MW4925.jpg,365,82,W,55,4,106,68
G010602_MW4925.jpg,365,82,4,134,4,184,67
G010602_MW4925.jpg,365,82,9,182,5,230,68
G010602_MW4925.jpg,365,82,2,260,7,312,75
G010602_MW4925.jpg,365,82,5,310,6,361,72
G010602_MW5191.jpg,163,58,M,7,19,31,54
G010602_MW5191.jpg,163,58,W,29,17,50,51
G010602_MW5191.jpg,163,58,5,62,11,83,48
G010602_MW5191.jpg,163,58,1,81,11,102,45
G010602_MW5191.jpg,163,58,9,113,7,134,42
G010602_MW5191.jpg,163,58,1,132,5,153,39
G010602_MW5549.jpg,369,184,M,6,85,58,171
G010602_MW5549.jpg,369,184,W,58,76,108,154
G010602_MW5549.jpg,369,184,5,140,55,188,137
G010602_MW5549.jpg,369,184,5,189,44,237,122
G010602_MW5549.jpg,369,184,4,266,21,313,100
G010602_MW5549.jpg,369,184,9,313,12,359,89
G010602_MW5940.jpg,198,52,M,9,10,34,41
G010602_MW5940.jpg,198,52,W,34,11,58,42
G010602_MW5940.jpg,198,52,5,73,13,98,44
G010602_MW5940.jpg,198,52,9,98,13,123,45
G010602_MW5940.jpg,198,52,4,138,14,164,48
G010602_MW5940.jpg,198,52,0,165,16,189,48
G010602_MX1047.jpg,136,82,M,38,6,68,40
G010602_MX1047.jpg,136,82,X,65,3,92,41
G010602_MX1047.jpg,136,82,1,10,43,36,81
G010602_MX1047.jpg,136,82,0,34,42,62,78
G010602_MX1047.jpg,136,82,4,78,38,105,73
G010602_MX1047.jpg,136,82,7,102,33,127,72
G010603_EX39.jpg,286,70,E,24,9,67,63
G010603_EX39.jpg,286,70,X,66,8,106,63
G010603_EX39.jpg,286,70,3,160,8,199,62
G010603_EX39.jpg,286,70,9,201,7,238,61
G010603_MW5191.jpg,256,89,M,6,18,43,85
G010603_MW5191.jpg,256,89,W,42,15,77,83
G010603_MW5191.jpg,256,89,5,96,10,132,79
G010603_MW5191.jpg,256,89,1,128,9,162,75
G010603_MW5191.jpg,256,89,9,183,5,217,71
G010603_MW5191.jpg,256,89,1,215,3,250,67
G010604_EX50.jpg,316,84,E,19,13,70,78
G010604_EX50.jpg,316,84,X,71,11,117,76
G010604_EX50.jpg,316,84,5,182,9,228,71
G010604_EX50.jpg,316,84,0,229,7,276,69
G0106EX1188.jpg,279,64,E,19,13,59,61
G0106EX1188.jpg,279,64,X,58,12,97,60
G0106EX1188.jpg,279,64,1,119,12,157,58
G0106EX1188.jpg,279,64,1,156,10,190,56
G0106EX1188.jpg,279,64,8,188,8,224,53
G0106EX1188.jpg,279,64,8,227,5,263,53
